=== PART 1-B: SIMULATION 1 RESULTS ===

Step 1 | Battleship Pos: (471.48, 654.71)

Step 2 | Battleship Pos: (389.84, 384.23)

Step 3 | Battleship Pos: (139.23, 147.47)

Step 4 | Battleship Pos: (339.64, 502.55)

Step 5 | Battleship Pos: (125.19, 434.31)

Step 6 | Battleship Pos: (942.01, 714.96)

Step 7 | Battleship Pos: (204.78, 718.99)

Step 8 | Battleship Pos: (496.38, 891.20)

Step 9 | Battleship Pos: (964.60, 154.12)

Step 10 | Battleship Pos: (306.92, 332.13)

Step 11 | Battleship Pos: (361.77, 788.81)

Step 12 | Battleship Pos: (965.39, 546.43)

Step 13 | Battleship Pos: (519.43, 806.79)

Step 14 | Battleship Pos: (760.70, 645.95)

Step 15 | Battleship Pos: (664.91, 337.23)

Step 16 | Battleship Pos: (372.26, 891.90)

Step 17 | Battleship Pos: (616.53, 618.92)

Step 18 | Battleship Pos: (502.24, 422.53)

Step 19 | Battleship Pos: (725.79, 799.19)

Step 20 | Battleship Pos: (603.72, 693.59)

Step 21 | Battleship Pos: (680.50, 148.81)

Step 22 | Battleship Pos: (360.67, 663.11)

Step 23 | Battleship Pos: (75.90, 974.43)

Step 24 | Battleship Pos: (76.63, 251.38)

Step 25 | Battleship Pos: (159.40, 9.06)

Step 26 | Battleship Pos: (627.03, 107.76)

Step 27 | Battleship Pos: (655.26, 562.82)

Step 28 | Battleship Pos: (132.97, 215.31)

Step 29 | Battleship Pos: (75.78, 214.30)

Step 30 | Battleship Pos: (11.44, 364.39)

Step 31 | Battleship Pos: (425.28, 324.41)

Step 32 | Battleship Pos: (559.10, 27.04)

Step 33 | Battleship Pos: (702.26, 153.69)

Step 34 | Battleship Pos: (725.15, 662.59)

Step 35 | Battleship Pos: (107.36, 864.50)

Step 36 | Battleship Pos: (230.32, 986.36)

Step 37 | Battleship Pos: (362.29, 188.82)

Step 38 | Battleship Pos: (687.52, 232.52)

Step 39 | Battleship Pos: (46.11, 43.95)

Step 40 | Battleship Pos: (880.61, 942.35)

Step 41 | Battleship Pos: (356.06, 876.13)

Step 42 | Battleship Pos: (858.03, 308.94)

Step 43 | Battleship Pos: (197.55, 14.25)

Step 44 | Battleship Pos: (996.80, 610.03)

Step 45 | Battleship Pos: (11.23, 814.66)

Step 46 | Battleship Pos: (693.44, 759.94)

Step 47 | Battleship Pos: (242.35, 877.74)

Step 48 | Battleship Pos: (838.44, 511.67)

Step 49 | Battleship Pos: (858.76, 118.72)

Step 50 | Battleship Pos: (729.67, 341.01)
OUTCOME: Battleship SURVIVED all steps.
