=== PART 1-B: SIMULATION 2 RESULTS (Jammed after step 25) ===

Step 1 | Pos: (471.48, 654.71) | Range: [0.00, 25484.20]

Step 2 | Pos: (389.84, 384.23) | Range: [0.00, 25484.20]

Step 3 | Pos: (139.23, 147.47) | Range: [0.00, 25484.20]

Step 4 | Pos: (339.64, 502.55) | Range: [0.00, 25484.20]

Step 5 | Pos: (125.19, 434.31) | Range: [0.00, 25484.20]

Step 6 | Pos: (942.01, 714.96) | Range: [0.00, 25484.20]

Step 7 | Pos: (204.78, 718.99) | Range: [0.00, 25484.20]

Step 8 | Pos: (496.38, 891.20) | Range: [0.00, 25484.20]

Step 9 | Pos: (964.60, 154.12) | Range: [0.00, 25484.20]

Step 10 | Pos: (306.92, 332.13) | Range: [0.00, 25484.20]

Step 11 | Pos: (361.77, 788.81) | Range: [0.00, 25484.20]

Step 12 | Pos: (965.39, 546.43) | Range: [0.00, 25484.20]

Step 13 | Pos: (519.43, 806.79) | Range: [0.00, 25484.20]

Step 14 | Pos: (760.70, 645.95) | Range: [0.00, 25484.20]

Step 15 | Pos: (664.91, 337.23) | Range: [0.00, 25484.20]

Step 16 | Pos: (372.26, 891.90) | Range: [0.00, 25484.20]

Step 17 | Pos: (616.53, 618.92) | Range: [0.00, 25484.20]

Step 18 | Pos: (502.24, 422.53) | Range: [0.00, 25484.20]

Step 19 | Pos: (725.79, 799.19) | Range: [0.00, 25484.20]

Step 20 | Pos: (603.72, 693.59) | Range: [0.00, 25484.20]

Step 21 | Pos: (680.50, 148.81) | Range: [0.00, 25484.20]

Step 22 | Pos: (360.67, 663.11) | Range: [0.00, 25484.20]

Step 23 | Pos: (75.90, 974.43) | Range: [0.00, 25484.20]

Step 24 | Pos: (76.63, 251.38) | Range: [0.00, 25484.20]

Step 25 | Pos: (159.40, 9.06) | Range: [0.00, 25484.20]

Step 26 | Pos: (627.03, 107.76) | Range: [12742.10, 25484.20]

Step 27 | Pos: (655.26, 562.82) | Range: [12742.10, 25484.20]

Step 28 | Pos: (132.97, 215.31) | Range: [12742.10, 25484.20]

Step 29 | Pos: (75.78, 214.30) | Range: [12742.10, 25484.20]

Step 30 | Pos: (11.44, 364.39) | Range: [12742.10, 25484.20]

Step 31 | Pos: (425.28, 324.41) | Range: [12742.10, 25484.20]

Step 32 | Pos: (559.10, 27.04) | Range: [12742.10, 25484.20]

Step 33 | Pos: (702.26, 153.69) | Range: [12742.10, 25484.20]

Step 34 | Pos: (725.15, 662.59) | Range: [12742.10, 25484.20]

Step 35 | Pos: (107.36, 864.50) | Range: [12742.10, 25484.20]

Step 36 | Pos: (230.32, 986.36) | Range: [12742.10, 25484.20]

Step 37 | Pos: (362.29, 188.82) | Range: [12742.10, 25484.20]

Step 38 | Pos: (687.52, 232.52) | Range: [12742.10, 25484.20]

Step 39 | Pos: (46.11, 43.95) | Range: [12742.10, 25484.20]

Step 40 | Pos: (880.61, 942.35) | Range: [12742.10, 25484.20]

Step 41 | Pos: (356.06, 876.13) | Range: [12742.10, 25484.20]

Step 42 | Pos: (858.03, 308.94) | Range: [12742.10, 25484.20]

Step 43 | Pos: (197.55, 14.25) | Range: [12742.10, 25484.20]

Step 44 | Pos: (996.80, 610.03) | Range: [12742.10, 25484.20]

Step 45 | Pos: (11.23, 814.66) | Range: [12742.10, 25484.20]

Step 46 | Pos: (693.44, 759.94) | Range: [12742.10, 25484.20]

Step 47 | Pos: (242.35, 877.74) | Range: [12742.10, 25484.20]

Step 48 | Pos: (838.44, 511.67) | Range: [12742.10, 25484.20]

Step 49 | Pos: (858.76, 118.72) | Range: [12742.10, 25484.20]

Step 50 | Pos: (729.67, 341.01) | Range: [12742.10, 25484.20]
OUTCOME: Battleship SURVIVED all steps.
